ID,Year,Make,Model,Category,Colour,Price
0,2012,Dodge,Avenger,Sedan,Aqua,41907
1,1996,Chevrolet,Blazer,SUV,PaleVioletRed,26476
2,2006,GMC,Sierra 1500 Regular Cab,Pickup,CadetBlue,3549
3,1996,Nissan,Altima,Sedan,Khaki,19281
4,2012,Nissan,Altima,"Coupe, Sedan",White,6036
5,2010,Ford,Expedition,SUV,Blue,9008
6,2005,MAZDA,MAZDA6,"Sedan, Hatchback, Wagon",DeepPink,27324
7,2013,BMW,M6,"Coupe, Convertible",AntiqueWhite,41556
8,1999,Lexus,GS,Sedan,IndianRed,27080
9,1997,Plymouth,Neon,"Sedan, Coupe",DarkSalmon,17722
10,2018,INFINITI,QX30,SUV,Tan,39359
11,1997,Audi,A4,Sedan,RosyBrown,10712
12,2007,Bentley,Arnage,Sedan,DarkSlateBlue,55605
13,1997,Dodge,Ram Wagon 2500,Van/Minivan,DeepSkyBlue,50698
14,2018,Hyundai,Santa Fe,SUV,Magenta,28170
15,2000,Volvo,S40,Sedan,Plum,19170
16,2009,Chevrolet,Suburban 1500,SUV,LightSkyBlue,45105
17,2007,Saturn,Aura,Sedan,Navy,29164
18,2007,Saab,5-Sep,"Sedan, Wagon",Turquoise,33440
19,1997,Lexus,LS,Sedan,MistyRose,41844
20,2014,Ford,F250 Super Duty Regular Cab,Pickup,OliveDrab,2931
21,2003,Jaguar,S-Type,Sedan,Gold,9193
22,1998,Chevrolet,Suburban 2500,SUV,OrangeRed,36011
23,2018,Kia,Optima Hybrid,Sedan,Olive,24065
24,1998,Ford,Mustang,"Coupe, Convertible",Moccasin,3032
25,2006,Pontiac,Montana SV6,Van/Minivan,AliceBlue,4348
26,2000,Ford,F350 Super Duty Regular Cab,Pickup,HotPink,9661
27,1998,Ford,F150 Regular Cab,Pickup,LightSteelBlue,40432
28,2015,Lexus,LX,SUV,GhostWhite,9598
29,2018,Kia,Niro,Wagon,LightSteelBlue,46481
30,2010,Lexus,HS,Sedan,AliceBlue,59347
31,2015,FIAT,500c,Convertible,MediumSpringGreen,21461
32,2018,Chevrolet,Cruze,"Sedan, Hatchback",SlateBlue,54139
33,1994,Cadillac,Seville,Sedan,MediumSeaGreen,26182
34,2018,GMC,Savana 3500 Cargo,Van/Minivan,Teal,50573
35,2010,Cadillac,Escalade,SUV,Magenta,25580
